┏━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━┓
┃ Check ┃ Frequency [Hz] ┃      Fs [Hz] ┃ Samples ┃ Samples x period ┃ Periods ┃ Rms Value [V] ┃ Real Voltage ┃    R.E. ┃           Time ┃
┡━━━━━━━╇━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━┩
│  ❌️   │       10.00000 │     34.19952 │      16 │             3.42 │   4.678 │       0.66750 │      0.70711 │  -5.601 │ 0:00:00.797828 │
│  ❌️   │       10.00000 │     34.19952 │      32 │             3.42 │   9.357 │       0.68689 │      0.70711 │  -2.859 │ 0:00:00.844847 │
│  ✅️   │       10.00000 │     34.19952 │      63 │             3.42 │  18.421 │       0.71370 │      0.70711 │   0.932 │ 0:00:00.973578 │
│  ❌️   │       10.00000 │     34.19952 │     126 │             3.42 │  36.843 │       0.69606 │      0.70711 │  -1.562 │ 0:00:01.252309 │
│  ✅️   │       10.00000 │     34.19952 │     251 │             3.42 │  73.393 │       0.70441 │      0.70711 │  -0.381 │ 0:00:01.689240 │
│  ✅️   │       10.00000 │     34.19952 │     501 │             3.42 │ 146.493 │       0.70985 │      0.70711 │   0.388 │ 0:00:02.611218 │
│  ✅️   │       10.00000 │     34.19952 │    1000 │             3.42 │ 292.402 │       0.70748 │      0.70711 │   0.053 │ 0:00:04.487722 │
│  ❌️   │       10.00000 │     40.89624 │       2 │             4.09 │   0.489 │       0.81621 │      0.70711 │  15.429 │ 0:00:00.748741 │
│  ❌️   │       10.00000 │     40.89624 │       4 │             4.09 │   0.978 │       0.65447 │      0.70711 │  -7.444 │ 0:00:00.745534 │
│  ❌️   │       10.00000 │     40.89624 │       8 │             4.09 │   1.956 │       0.55897 │      0.70711 │ -20.949 │ 0:00:00.762187 │
│  ❌️   │       10.00000 │     40.89624 │      16 │             4.09 │   3.912 │       0.76066 │      0.70711 │   7.574 │ 0:00:00.804988 │
│  ❌️   │       10.00000 │     40.89624 │      32 │             4.09 │   7.825 │       0.66187 │      0.70711 │  -6.397 │ 0:00:00.840650 │
│  ✅️   │       10.00000 │     40.89624 │      63 │             4.09 │  15.405 │       0.70377 │      0.70711 │  -0.472 │ 0:00:00.983993 │
